SOA,Participant,Condition,StimulusType,MeanAmplitude,Electrode
100,100_0,random,A,9.059526769306103e-07,M1
100,100_1,random,A,9.365866196731077e-07,M1
100,100_2,random,A,-5.5352361778204795e-06,M1
100,100_3,random,A,9.077204049390275e-07,M1
100,100_4,random,A,-1.521822873655765e-06,M1
100,100_5,random,A,3.6303020358730007e-07,M1
100,100_6,random,A,1.5198456230791635e-06,M1
100,100_7,random,A,-1.743100472140213e-07,M1
100,100_8,random,A,-3.4276926385246043e-07,M1
100,100_9,random,A,-2.0366425239615183e-07,M1
100,100_10,random,A,-2.44653909248882e-06,M1
100,100_11,random,A,-7.568899072794011e-06,M1
100,100_12,random,A,-2.3053158544783515e-07,M1
100,100_13,random,A,-2.3122224865801398e-06,M1
100,100_14,random,A,-3.8371061407360684e-07,M1
100,100_15,random,A,-2.767166752164485e-06,M1
100,100_16,random,A,-7.578947788715595e-06,M1
100,100_17,random,A,6.793542979721678e-07,M1
100,100_18,random,A,5.114491956703659e-07,M1
100,100_19,random,A,1.4610749319743376e-07,M1
100,100_0,random,A,-9.330497459814069e-07,M2
100,100_1,random,A,6.95972236144371e-07,M2
100,100_2,random,A,-2.058215764009219e-06,M2
100,100_3,random,A,3.620476672949735e-07,M2
100,100_4,random,A,-1.3178079234421603e-06,M2
100,100_5,random,A,-4.454693848288116e-07,M2
100,100_6,random,A,1.0572149312793045e-06,M2
100,100_7,random,A,2.9178091779158424e-07,M2
100,100_8,random,A,2.2188672758716165e-07,M2
100,100_9,random,A,7.332401281701095e-09,M2
100,100_10,random,A,-2.457976906953263e-06,M2
100,100_11,random,A,-4.050254474350367e-06,M2
100,100_12,random,A,5.058285404757612e-08,M2
100,100_13,random,A,-1.710316810203949e-06,M2
100,100_14,random,A,-8.633508663535849e-09,M2
100,100_15,random,A,-2.3899033203633737e-06,M2
100,100_16,random,A,-1.017783797578886e-05,M2
100,100_17,random,A,3.3559452913323185e-06,M2
100,100_18,random,A,-1.6973284324706127e-08,M2
100,100_19,random,A,2.295883368788054e-06,M2
100,100_0,random,A,2.142596948431219e-07,fronto_pooled
100,100_1,random,A,-3.6850085894535313e-07,fronto_pooled
100,100_2,random,A,-1.612174402225719e-06,fronto_pooled
100,100_3,random,A,-8.948082926352186e-08,fronto_pooled
100,100_4,random,A,4.647381468032563e-07,fronto_pooled
100,100_5,random,A,1.3116420420189456e-07,fronto_pooled
100,100_6,random,A,1.3590000820613569e-06,fronto_pooled
100,100_7,random,A,-1.069441437569374e-06,fronto_pooled
100,100_8,random,A,-6.318687244259991e-07,fronto_pooled
100,100_9,random,A,3.324975252958495e-07,fronto_pooled
100,100_10,random,A,1.3151905686754618e-06,fronto_pooled
100,100_11,random,A,-1.07909815505991e-06,fronto_pooled
100,100_12,random,A,4.3715857248116663e-07,fronto_pooled
100,100_13,random,A,5.325604729478073e-07,fronto_pooled
100,100_14,random,A,-1.7567034713650288e-07,fronto_pooled
100,100_15,random,A,1.1033854141260236e-06,fronto_pooled
100,100_16,random,A,-7.032856108708074e-06,fronto_pooled
100,100_17,random,A,1.6683319986441347e-06,fronto_pooled
100,100_18,random,A,-7.171087119317576e-08,fronto_pooled
100,100_19,random,A,9.703746253535429e-07,fronto_pooled
100,100_0,random,A,-1.3548534525398281e-08,mastoids_pooled
100,100_1,random,A,8.162794279087393e-07,mastoids_pooled
100,100_2,random,A,-3.7967259709148493e-06,mastoids_pooled
100,100_3,random,A,6.348840361170005e-07,mastoids_pooled
100,100_4,random,A,-1.4198153985489626e-06,mastoids_pooled
100,100_5,random,A,-4.1219590620755755e-08,mastoids_pooled
100,100_6,random,A,1.288530277179234e-06,mastoids_pooled
100,100_7,random,A,5.8735435288781443e-08,mastoids_pooled
100,100_8,random,A,-6.044126813264938e-08,mastoids_pooled
100,100_9,random,A,-9.816592555722536e-08,mastoids_pooled
100,100_10,random,A,-2.4522579997210415e-06,mastoids_pooled
100,100_11,random,A,-5.809576773572189e-06,mastoids_pooled
100,100_12,random,A,-8.99743657001295e-08,mastoids_pooled
100,100_13,random,A,-2.0112696483920447e-06,mastoids_pooled
100,100_14,random,A,-1.9617206136857135e-07,mastoids_pooled
100,100_15,random,A,-2.578535036263929e-06,mastoids_pooled
